Run id: 1040
Best objective remained constant between epochs listed below.
(Current objective may have changed, however.)
Epoch, Current Objective, Best Objective, Wall Time (ns)
1, 151.1382697, 150.1164213, 11810
3, 149.1934493, 149.1934493, 11970
5, 148.4159365, 148.4159365, 12114
8, 147.2417338, 147.2417338, 12238
10, 146.7814177, 146.7814177, 12360
45, 144.3927704, 144.3927704, 12481
46, 142.861129, 142.861129, 12606
47, 141.7889914, 141.7889914, 12725
52, 140.6394526, 140.6394526, 12854
53, 139.3251051, 139.3251051, 12991
56, 137.7395294, 137.7395294, 13112
60, 134.6393348, 134.6393348, 13234
63, 134.0935733, 134.0935733, 13361
67, 133.5796941, 133.5796941, 13484
68, 133.1187993, 133.1187993, 13616
71, 131.6566514, 131.6566514, 13743
72, 130.2889278, 130.2889278, 13864
74, 129.5034052, 129.5034052, 13996
76, 128.060684, 128.060684, 14142
120, 127.4286469, 127.4286469, 14256
123, 126.7275616, 126.7275616, 14386
127, 125.9043989, 125.9043989, 14501
140, 125.8878793, 125.8878793, 14638
205, 125.6830036, 125.6830036, 14750
252, 124.6044521, 124.6044521, 14871
254, 124.4764802, 124.4764802, 15003
257, 122.8481606, 122.8481606, 15117
258, 122.6455146, 122.6455146, 15225
294, 121.8581344, 121.8581344, 15352
298, 121.6607292, 121.6607292, 15492
299, 121.1348713, 121.1348713, 15637
301, 119.6816283, 119.6816283, 15776
302, 118.1183374, 118.1183374, 15918
637, 117.9247305, 117.9247305, 16100
638, 117.6846344, 117.6846344, 16343
639, 117.460849, 117.460849, 16527
737, 116.0841544, 116.0841544, 16723
776, 115.625688, 115.625688, 16894
783, 113.8725858, 113.8725858, 17046
786, 112.1363718, 112.1363718, 17214
790, 111.4452795, 111.4452795, 17352
798, 110.0274775, 110.0274775, 17493
1013, 108.986097, 108.986097, 17648
1017, 107.6824703, 107.6824703, 17777
1023, 106.5256625, 106.5256625, 17897
1024, 105.8597962, 105.8597962, 18121
5032, 104.3494886, 104.3494886, 18357
9796, 104.1312236, 104.1312236, 18676
9805, 102.060875, 102.060875, 18858
12358, 100.9676406, 100.9676406, 19203
12359, 100.8398682, 100.8398682, 19377
12368, 100.0439457, 100.0439457, 19533
12371, 99.61111029, 99.61111029, 19685
12374, 99.43607761, 99.43607761, 19868
41233, 97.91212959, 97.91212959, 20061
52974, 97.74715069, 97.74715069, 20354
52981, 96.90535633, 96.90535633, 20523
53916, 96.41377038, 96.41377038, 20659
54092, 96.15905547, 96.15905547, 20801
54095, 95.95792701, 95.95792701, 20926
54096, 95.70425823, 95.70425823, 21069
54125, 95.27998169, 95.27998169, 21218
54168, 95.26373176, 95.26373176, 21348
54169, 94.997966, 94.997966, 21470
54176, 94.85636783, 94.85636783, 21605
54234, 94.4171498, 94.4171498, 21812
54238, 89.86687937, 89.86687937, 22000
54239, 89.77218549, 89.77218549, 22196
427871, 89.20544591, 89.20544591, 22501
427895, 88.35547319, 88.35547319, 22664
427951, 86.87127959, 86.87127959, 22819
427957, 86.86298815, 86.86298815, 22948
652536, 86.73248093, 86.73248093, 23232
654195, 86.24565604, 86.24565604, 23387
654249, 83.99670981, 83.99670981, 23531
654261, 82.71669092, 82.71669092, 23677
654264, 82.55559945, 82.55559945, 23794
654287, 82.30306651, 82.30306651, 23909
654306, 81.00008284, 81.00008284, 24036
654328, 79.6432746, 79.6432746, 24197
654347, 79.22949809, 79.22949809, 24347
1175121, 78.72718987, 78.72718987, 24628
1175125, 78.44013586, 78.44013586, 24785
1175141, 78.42156822, 78.42156822, 24921
1213765, 78.41833265, 78.41833265, 25085
1213771, 77.98192726, 77.98192726, 25221
1213876, 77.92842171, 77.92842171, 25356
1213894, 77.73942726, 77.73942726, 25500
1333385, 77.07955918, 77.07955918, 26170
1443209, 76.85673027, 76.85673027, 26398
1443228, 76.76171239, 76.76171239, 26545
1549546, 76.68995314, 76.68995314, 26760
1549558, 76.62608024, 76.62608024, 26930
1549569, 76.48499077, 76.48499077, 27044
1549571, 76.46447714, 76.46447714, 27168
1549577, 75.44947547, 75.44947547, 27279
1549605, 75.22381425, 75.22381425, 27410
1580603, 73.8979077, 73.8979077, 27586
1641246, 73.53669199, 73.53669199, 27874
1641247, 72.71685667, 72.71685667, 28033
1641292, 72.60237583, 72.60237583, 28189
1641296, 72.21433911, 72.21433911, 28348
1641307, 72.00082025, 72.00082025, 28503
1654632, 71.85439729, 71.85439729, 28656
1749581, 71.61280708, 71.61280708, 28876
1749582, 70.73676967, 70.73676967, 29028
1791217, 70.22977405, 70.22977405, 29175
1791223, 69.8984088, 69.8984088, 29329
1831912, 69.7575039, 69.7575039, 29565
1831950, 69.52147827, 69.52147827, 29706
1849334, 69.32810717, 69.32810717, 29970
1849335, 69.0933919, 69.0933919, 30122
1849353, 68.19812093, 68.19812093, 30264
1849372, 67.8547552, 67.8547552, 30391
1849386, 67.48358755, 67.48358755, 30538
1849389, 66.75231582, 66.75231582, 30661
1849411, 65.19223764, 65.19223764, 30795
1849421, 64.90215769, 64.90215769, 30920
1849447, 64.67121689, 64.67121689, 31058
1849489, 63.96927909, 63.96927909, 31190
1849683, 63.88064364, 63.88064364, 31331
1849684, 63.40995633, 63.40995633, 31488
2406927, 63.39703228, 63.39703228, 31766
2406948, 62.41891083, 62.41891083, 31884
2416029, 61.9783697, 61.9783697, 32080
2416031, 61.43887174, 61.43887174, 32246
2416036, 61.12346565, 61.12346565, 32440
2416052, 61.02518364, 61.02518364, 32587
2416055, 60.81693684, 60.81693684, 32697
2416060, 60.72314243, 60.72314243, 32841
2416078, 60.55983045, 60.55983045, 32972
2596891, 60.46484394, 60.46484394, 33237
2597106, 60.34648411, 60.34648411, 33309
2611578, 60.25037782, 60.25037782, 33464
2611668, 60.22910608, 60.22910608, 33536
2611674, 59.735075, 59.735075, 33695
2611686, 59.11523708, 59.11523708, 33838
2611766, 58.99326349, 58.99326349, 33994
2611772, 58.66057252, 58.66057252, 34127
2611777, 58.63944543, 58.63944543, 34247
2611778, 58.31860749, 58.31860749, 34311
2611803, 58.02654199, 58.02654199, 34425
2795288, 58.02107896, 58.02107896, 34650
2795317, 57.9750031, 57.9750031, 34776
2795746, 57.89030943, 57.89030943, 34895
2795750, 57.1000689, 57.1000689, 35101
2795994, 57.01593669, 57.01593669, 35262
2795996, 56.48499991, 56.48499991, 35362
2905778, 56.10637525, 56.10637525, 35661
2905892, 56.05781774, 56.05781774, 35827
2973598, 55.48541626, 55.48541626, 36105
2987493, 55.45673003, 55.45673003, 36257
2987501, 55.44746938, 55.44746938, 36375
2987535, 55.40757772, 55.40757772, 36538
2987584, 54.99654866, 54.99654866, 36644
2987596, 54.75033668, 54.75033668, 36790
3112159, 54.1190285, 54.1190285, 37058
3112230, 53.97284428, 53.97284428, 37193
3112273, 53.40034734, 53.40034734, 37327
3156128, 53.28558243, 53.28558243, 37630
3156151, 53.03298274, 53.03298274, 37797
3156158, 52.71349091, 52.71349091, 37963
3156253, 52.68971306, 52.68971306, 38091
3284582, 52.34547402, 52.34547402, 38231
3284617, 52.24215154, 52.24215154, 38408
3284642, 52.12171976, 52.12171976, 38544
3284646, 51.55606996, 51.55606996, 38682
3284705, 51.2158208, 51.2158208, 38804
3285008, 51.09637039, 51.09637039, 38935
3285036, 50.75968238, 50.75968238, 39052
3285057, 50.58096836, 50.58096836, 39164
3285073, 50.38177932, 50.38177932, 39282
3285104, 50.13645645, 50.13645645, 39408
3285119, 50.03537143, 50.03537143, 39550
3285168, 49.69559967, 49.69559967, 39685
3285190, 48.71430349, 48.71430349, 39801
3285227, 48.65700261, 48.65700261, 39935
3285236, 48.63089842, 48.63089842, 39986
3285337, 47.8587444, 47.8587444, 40061
3293603, 47.25148346, 47.25148346, 40347
3293627, 47.18099335, 47.18099335, 40503
3477512, 47.08489245, 47.08489245, 40682
3520053, 46.97449386, 46.97449386, 40832
3756789, 46.78107334, 46.78107334, 41169
3756794, 46.76675814, 46.76675814, 41361
3756835, 46.50363634, 46.50363634, 41452
3757578, 46.06623592, 46.06623592, 41612
3757889, 45.95020574, 45.95020574, 41771
3757925, 45.80034494, 45.80034494, 41907
3757955, 45.64665796, 45.64665796, 42060
3862993, 45.32393469, 45.32393469, 42297
3863004, 44.71447704, 44.71447704, 42453
3863006, 44.69396119, 44.69396119, 42631
3863673, 44.64339765, 44.64339765, 42726
3863703, 44.34324175, 44.34324175, 42865
3937471, 44.24778679, 44.24778679, 43174
4052877, 44.1531479, 44.1531479, 43709
4052903, 44.1527435, 44.1527435, 43878
4055253, 44.08302425, 44.08302425, 43962
4055281, 43.92834151, 43.92834151, 44038
4113847, 43.69514189, 43.69514189, 44265
4113878, 42.68950664, 42.68950664, 44415
4188104, 42.68427168, 42.68427168, 44618
4188114, 42.60768275, 42.60768275, 44736
4223834, 42.50246248, 42.50246248, 44895
4223914, 42.46142726, 42.46142726, 45028
4224174, 42.44982085, 42.44982085, 45196
4224608, 42.3604206, 42.3604206, 45269
4227508, 42.05557829, 42.05557829, 45423
4227596, 42.02874109, 42.02874109, 45566
4227650, 41.90326858, 41.90326858, 45638
4228158, 41.81902313, 41.81902313, 45860
4228188, 41.81902313, 41.81902313, 46041
4266458, 41.75478509, 41.75478509, 46242
4269881, 41.68186433, 41.68186433, 46406
4269938, 41.50187343, 41.50187343, 46552
4269942, 41.4690964, 41.4690964, 46683
4270031, 41.0602902, 41.0602902, 46805
4270078, 40.73005527, 40.73005527, 46931
4270098, 40.66432348, 40.66432348, 47070
4302990, 40.59953259, 40.59953259, 47266
4401494, 40.52551668, 40.52551668, 47462
4401529, 40.27144427, 40.27144427, 47533
4401561, 40.09764762, 40.09764762, 47693
4401569, 40.0227533, 40.0227533, 47833
4402179, 39.99428565, 39.99428565, 47984
4402271, 39.89466841, 39.89466841, 48129
4409745, 39.87504965, 39.87504965, 48331
4409755, 39.84657143, 39.84657143, 48479
4409970, 39.41727674, 39.41727674, 48573
4410336, 39.29953466, 39.29953466, 48736
4410545, 38.65257115, 38.65257115, 48874
4410602, 38.54720697, 38.54720697, 49013
4410681, 38.16829494, 38.16829494, 49144
4591467, 37.77383916, 37.77383916, 49449
4591697, 37.74275999, 37.74275999, 49628
4631796, 37.62067635, 37.62067635, 49872
4631895, 37.59996634, 37.59996634, 50042
4631954, 37.37469041, 37.37469041, 50112
4632055, 37.05258826, 37.05258826, 50244
4632358, 36.99039335, 36.99039335, 50397
4632446, 36.84547502, 36.84547502, 50468
4637148, 36.76903207, 36.76903207, 50602
4637203, 36.7380971, 36.7380971, 50668
4637437, 36.48435018, 36.48435018, 50839
4637474, 36.42384107, 36.42384107, 50946
4637534, 36.3415623, 36.3415623, 51029
4637565, 36.25104694, 36.25104694, 51166
4665556, 36.03302131, 36.03302131, 51299
4665577, 35.82135877, 35.82135877, 51448
4665607, 35.43874805, 35.43874805, 51591
4719297, 35.03560323, 35.03560323, 51896
4719613, 35.02738192, 35.02738192, 52053
4910830, 35.02070806, 35.02070806, 52241
4910836, 34.90616834, 34.90616834, 52301
4911169, 34.87753365, 34.87753365, 52469
4916533, 34.64286453, 34.64286453, 52626
4916534, 34.61774751, 34.61774751, 52783
4918220, 34.58138731, 34.58138731, 52871
4918288, 34.54428331, 34.54428331, 52987
5056566, 34.51511192, 34.51511192, 53294
5104415, 34.37603883, 34.37603883, 53578
5104939, 34.1530201, 34.1530201, 53711
5105011, 34.1530201, 34.1530201, 53856
5105289, 33.66387174, 33.66387174, 53947
5165569, 33.39677037, 33.39677037, 54250
5194542, 33.34045798, 33.34045798, 54432
5194646, 33.25104266, 33.25104266, 54502
5194693, 32.49025937, 32.49025937, 54651
5348612, 32.38551584, 32.38551584, 54887
5348769, 32.15031448, 32.15031448, 55044
5349015, 32.06532913, 32.06532913, 55197
5349028, 31.72710524, 31.72710524, 55268
5365798, 30.96026803, 30.96026803, 55567
